"PERS_ID","YM_start","YM_end"
132284287,201009,201208
132284287,201211,201302
132288037,200106,200111
132288037,200305,200312
132288037,190001,200707
132288037,201011,201107
132327641,201004,201304
132329335,201101,201112
132336993,200704,200806
132336993,200704,200806
132336993,200903,201106
132336993,201201,201306
132359481,201603,201701
132361307,201209,201612
132390183,201103,201208
132390183,201205,201208
132476287,201108,201201
132512507,201005,201008
132555505,200909,200910
132566751,201105,201208
132566751,201210,201407
132568501,201408,201505
132588205,200904,201007
132588205,201007,201106
132589471,200704,200710
132603975,201802,201809
132627887,201603,201709
132627887,201809,201809
132629967,199502,199508
132629967,199508,199508
132645015,201407,201508
132645015,201005,201010
132645015,201210,201210
132645015,201012,201302
132654401,201610,201802
132663899,201507,201509
132663899,201510,201710
132664033,201202,201308
132668777,201301,201302
132677479,200610,200611
132677479,200705,200710
132696667,201301,201306
132696667,201306,201506
132696667,201612,201706
132712033,201701,201704
132712033,201511,201711
132712033,201712,201806
132715169,201508,201806
132721119,201412,201609
132721119,201204,201406
132721119,201407,201412
132726763,201204,201307
132729231,201705,201712
132763081,200205,200205
132763081,200303,200903
132780323,201509,201605
132780323,201507,201508
132803133,201007,201012
132803133,201101,201103
132803133,201103,201201
132803133,201203,201207
132803133,201207,201410
132826927,201012,201103
132826927,201105,201110
132826927,201112,201204
132826927,201205,201211
132826927,201212,201304
132826927,201305,201311
132826927,201312,201403
132826927,201405,201410
132859795,200207,200208
132859795,200209,200307
132859795,200701,201009
132860079,201205,201311
132906401,201203,201208
132906401,201601,201706
132906401,201704,201711
132906401,201807,201808
132921643,200907,201412
132925431,200810,200812
132925431,200908,200912
132936239,201604,201708
132952823,201008,201009
132952823,201012,201103
132952823,201107,201109
132952823,201112,201203
132952823,201207,201210
132952823,201212,201304
132952823,201307,201311
132952823,201312,201404
132952823,201406,201410
132952823,201412,201504
132952823,201507,201601
132954639,200801,200901
132963083,201708,201711
132963083,201509,201711
132966951,201412,201501
132966951,201503,201511
132966951,201312,201504
132966951,201603,201703
132982243,201704,201704
132982243,201710,201711
133001733,201404,201405
133001733,201404,201405
133001733,201308,201404
133001733,201403,201404
133026383,201311,201508
133026383,201310,201406
133079953,201511,201605
133079953,201608,201804
133089187,201402,201611
133089187,201203,201401
133090061,200309,200310
133105997,201103,201209
133105997,201302,201302
133105997,201302,201309
133105997,201309,201403
133110445,201207,201304
133111363,200407,200502
133111363,200505,200505
133114347,201605,201707
133121081,201003,201308
133121081,201201,201308
133141343,201609,201612
133141343,201703,201809
133141915,200907,201204
133141915,201405,201506
133144305,201511,201706
133144305,201104,201211
133144305,201212,201305
133151717,200501,200504
133151717,200505,200505
133151717,200710,200711
133151717,200712,200801
133153511,201107,201204
133153511,201401,201503
133162693,200810,200812
133162693,200904,201006
133162693,201007,201604
133162693,201601,201604
133162719,201601,201610
133162719,201507,201601
133162719,201612,201708
133168491,200806,200812
133168491,200901,200902
133168491,200903,200903
133168491,200903,201005
133168491,201006,201110
133168491,201111,201111
133168491,201202,201212
133189069,201401,201612
133189069,201701,201803
133195399,200809,200810
133210765,201412,201507
133227361,201409,201508
133227361,201510,201607
133227361,201702,201709
133250623,201103,201206
133258407,200809,200810
133258407,200809,200810
133258407,200809,200810
133279833,200209,200304
133279833,200504,200506
133298663,201104,201106
133309741,201302,201302
133309741,201001,201409
133309741,201307,201409
133310993,200711,200712
133310993,200807,200808
133310993,200807,200807
133310993,200809,200903
133310993,200809,200910
133310993,200905,201007
133310993,201008,201008
133310993,201008,201011
133310993,200912,201112
133310993,201105,201112
133317665,201007,201307
133350787,201203,201502
133353429,200911,201204
133361777,201207,201208
133361777,201212,201306
133361777,201310,201405
133361777,201606,201702
133361777,201507,201702
133361777,201509,201702
133361813,201608,201610
133361813,201611,201702
133361823,201608,201702
133365321,199903,200006
133365321,200006,200112
133365321,200506,200509
133365321,200604,200610
133384637,200912,201012
133384637,201012,201101
133384637,201101,201112
133384637,201012,201208
133384637,201206,201312
133384637,201209,201312
133386535,201008,201111
133389299,200906,200907
133389377,201004,201008
133389377,201107,201108
133389377,201204,201402
133389377,201506,201605
133389377,201505,201605
133389377,201609,201705
133397357,201502,201509
133397357,201510,201704
133437417,201106,201408
133437417,201409,201501
133445647,201105,201204
133445647,201301,201505
133465357,201508,201512
133483269,201411,201501
133483269,201501,201706
133488129,199508,199512
133488129,199606,199607
133488129,199804,199805
133488129,200004,200005
133488129,200006,200010
133488129,200104,200106
133488129,200109,200110
133488129,200208,200210
133492387,201309,201507
133492387,201507,201607
133538985,201106,201412
133539495,201002,201012
133539533,201508,201601
